ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,humidity,temperature,class
122225.6,122544.0,24705.7,24711.5,24695.3,18586.3,18574.6,18576.2,34916.2,34922.8,34906.4,23443.9,23452.4,23449.3,222371.6,222088.4,3005.9,2997.5,1944.1,2238069.0,1944.2,1100.1,1100.1,1100.1,2863.6,2863.7,2863.7,1757.3,1758.2,1759.0,4823.9,4823.6,8744.0,8743.1,7253.7,7252.7,7254.8,1543.8,1543.6,1544.1,10783.0,10777.7,10783.2,4052.4,4054.2,4055.4,47287.9,47399.9,2258094.2,2215909.5,3009.5,3007.6,3006.9,3032.0,3031.6,3032.0,1100.4,1100.4,1100.4,1829.6,1828.0,1828.5,5554.7,5552.1,34.810001,26.68,ambient
122269.7,121999.2,24705.6,24702.6,24731.3,18581.1,18585.7,18581.6,34924.7,34948.6,34924.1,23435.0,23444.1,23438.8,221768.5,222601.2,3005.6,2997.6,1944.2,2184889.0,1944.4,1100.2,1100.1,1100.1,2864.2,2863.3,2863.1,1758.1,1758.8,1759.5,4824.3,4823.7,8741.7,8740.8,7252.0,7255.1,7252.8,1543.4,1543.3,1543.6,10772.4,10776.3,10778.9,4053.5,4052.9,4054.4,47323.6,47287.5,2242300.0,2249956.0,3009.4,3007.6,3006.7,3032.4,3032.3,3032.1,1100.4,1100.4,1100.4,1830.3,1828.6,1828.6,5556.5,5555.0,34.77,26.68,ambient
122303.8,122556.7,24702.7,24706.5,24712.3,18581.0,18577.3,18581.9,34930.4,34904.5,34936.9,23427.9,23428.9,23454.0,222421.6,222567.7,3005.7,2997.9,1944.5,2166135.8,1944.4,1100.1,1100.1,1100.1,2864.1,2864.4,2863.8,1758.0,1758.7,1758.7,4824.5,4824.6,8735.5,8734.7,7251.4,7251.9,7252.0,1543.7,1543.4,1543.9,10772.8,10782.8,10786.4,4052.4,4054.2,4057.0,47346.5,47349.2,2347936.8,2216737.8,3009.0,3007.6,3007.1,3032.8,3032.1,3032.3,1100.4,1100.4,1100.4,1830.0,1828.1,1828.4,5555.3,5555.7,34.830002,26.68,ambient
122137.5,122484.5,24723.1,24717.3,24721.3,18589.7,18582.8,18574.8,34920.0,34921.7,34926.1,23471.4,23448.9,23458.3,220859.8,221503.4,3005.9,2997.6,1944.7,2158645.8,1944.8,1100.2,1100.1,1100.1,2864.0,2864.0,2863.9,1757.8,1758.3,1758.9,4824.2,4824.2,8736.6,8737.4,7253.1,7254.3,7252.3,1543.4,1543.4,1543.7,10774.5,10781.2,10774.5,4052.8,4055.3,4051.0,47278.3,47344.4,2308636.0,2216737.8,3009.5,3007.7,3007.3,3032.0,3032.0,3032.2,1100.4,1100.4,1100.4,1830.3,1828.2,1828.5,5555.7,5555.0,34.779999,26.66,ambient
122176.5,122642.9,24717.5,24694.7,24712.3,18576.8,18573.4,18581.1,34937.8,34919.8,34893.7,23457.2,23452.7,23451.6,222492.6,222919.2,3005.8,2997.3,1944.2,2181674.0,1944.5,1100.1,1100.1,1100.1,2864.1,2863.5,2863.7,1757.8,1758.5,1759.1,4824.1,4823.5,8740.7,8744.0,7253.8,7253.5,7253.1,1543.6,1543.5,1544.0,10778.4,10777.5,10791.2,4053.3,4053.9,4055.9,47331.7,47335.5,2191347.2,2300130.2,3008.7,3007.9,3007.2,3032.7,3032.2,3032.3,1100.4,1100.4,1100.3,1830.1,1828.3,1828.3,5554.8,5555.3,34.889999,26.66,ambient
122107.3,122476.9,24737.3,24700.0,24715.3,18578.5,18579.2,18589.9,34899.6,34907.6,34915.8,23449.6,23437.4,23457.1,222313.2,222500.9,3005.5,2997.2,1944.6,2122339.5,1944.6,1100.2,1100.1,1100.1,2864.1,2864.6,2864.4,1757.8,1758.5,1759.0,4824.1,4824.1,8741.0,8736.9,7252.1,7252.9,7250.6,1543.5,1543.2,1543.6,10772.4,10782.3,10778.4,4052.9,4050.4,4055.7,47328.1,47367.7,2243148.0,2256375.8,3009.6,3008.2,3007.3,3032.4,3031.8,3032.3,1100.4,1100.4,1100.4,1829.9,1828.2,1828.8,5556.5,5555.4,34.830002,26.700001,ambient
122035.6,122414.9,24707.8,24703.1,24703.3,18585.7,18582.8,18590.2,34910.2,34925.9,34936.9,23448.0,23452.3,23451.7,222209.1,222354.9,3005.8,2997.7,1944.6,2205608.8,1944.6,1100.2,1100.1,1100.1,2864.0,2863.4,2863.2,1757.4,1758.1,1759.1,4824.6,4823.8,8741.7,8741.0,7250.2,7252.7,7251.4,1543.6,1543.4,1543.8,10783.2,10775.5,10777.5,4050.6,4052.4,4054.8,47297.3,47340.6,2355396.5,2284624.5,3009.4,3007.8,3007.3,3032.4,3032.2,3032.6,1100.4,1100.4,1100.4,1830.3,1828.4,1828.7,5556.7,5554.8,34.799999,26.68,ambient
122050.7,122363.1,24704.6,24692.0,24697.3,18579.9,18572.6,18575.3,34925.9,34929.9,34900.1,23456.3,23464.5,23459.5,221801.7,222626.3,3005.9,2997.5,1944.7,2199881.8,1944.5,1100.1,1100.1,1100.1,2864.2,2863.4,2863.1,1758.1,1758.8,1759.3,4824.0,4823.6,8741.4,8742.4,7249.3,7249.7,7249.2,1543.6,1543.4,1543.8,10783.2,10778.6,10791.6,4053.2,4055.2,4055.6,47339.1,47321.7,2352593.2,2274984.5,3009.7,3008.3,3007.2,3032.3,3031.9,3032.3,1100.4,1100.4,1100.4,1830.2,1828.2,1828.6,5556.4,5554.7,34.849998,26.66,ambient
122254.6,122297.5,24706.7,24696.0,24715.0,18577.2,18574.1,18591.2,34929.9,34913.6,34927.1,23447.3,23441.5,23456.8,221801.7,222096.7,3005.6,2997.6,1944.5,2157860.5,1944.6,1100.1,1100.1,1100.1,2864.7,2864.8,2864.3,1757.7,1758.8,1759.2,4824.1,4823.8,8739.1,8741.9,7246.3,7248.8,7245.5,1543.8,1543.7,1544.2,10778.4,10780.4,10784.7,4049.4,4052.5,4053.1,47360.3,47293.4,2255517.8,2306391.8,3010.1,3008.8,3007.9,3032.6,3032.2,3032.5,1100.4,1100.4,1100.4,1830.2,1828.4,1828.9,5556.4,5555.6,34.82,26.68,ambient
122460.5,122156.3,24705.6,24721.7,24703.4,18582.0,18582.2,18574.0,34921.7,34923.0,34945.8,23456.1,23449.7,23453.1,221926.3,221656.6,3006.2,2997.8,1944.3,2164554.8,1944.4,1100.2,1100.1,1100.1,2863.0,2863.3,2863.0,1758.0,1758.3,1758.8,4825.1,4823.8,8736.7,8737.4,7249.7,7245.8,7249.4,1543.7,1543.6,1543.8,10780.2,10787.1,10786.0,4053.3,4054.2,4055.7,47274.1,47267.5,2381405.0,2300130.2,3010.1,3008.3,3007.9,3032.5,3032.3,3032.6,1100.4,1100.4,1100.4,1830.5,1828.8,1829.0,5555.0,5554.4,34.84,26.700001,ambient
